ClassCode,ClassLabel,ClassDescription,ConceptNet,Hierarchy,ClassWord,Hypernym1,Hypernym2,count,label
P1001,jurisdiction,"""the item (institution, law, public office, public register...) or statement belongs to or has power over or applies to the value (a territorial jurisdiction: a country, state, municipality, ...)""",applies to jurisdiction,location,"""applies to jurisdiction""",item,group,1000,0
P102,member,"""the political party of which this politician is or has been a member or otherwise affiliated""",member of political party,person,"""member of political party""",person,organization,1000,1
P106,occupation,"""label applied to a person based on an activity they participate in""",occupation,act,"""occupation""",person,act,1000,2
P108,employer,"""person or organization for which the subject works or worked""",employer,person,"""employer""",person,organization,1000,3
P112,found,"""founder or co-founder of this organization, religion or place""",founded by,possession,"""founded by""",person,organization,1000,4
P118,league,"""league in which team or player plays or has played in""",league,organization,"""league""",organization,person,1000,5
P121,operate,"""equipment, installation or service operated by the subject""",item operated,item,"""item operated""",item,item,1000,6
P123,publisher,"""organization or person responsible for publishing books, periodicals, printed music, podcasts, games or software""",publisher,group,"""publisher""",person,artifact,1000,7
P127,own,"""owner of the subject""",owned by,person,"""owned by""",person,item,1000,8
P1303,instrument,"""musical instrument that a person plays or teaches or used in a music occupation""",instrument,act,"""instrument""",person,instrument,1000,9
P131,administrative,"""the item is located on the territory of the following administrative entity. """,located in the administrative territorial entity ,,"""located in the administrative territorial entity """,location,location,1000,10
P1344,participant,"""event in which a person or organization was/is a participant;""",participant in,situation,"""participant in""",event,person,1000,11
P136,genre,"""category of creative works based on stylistic, thematic or technical criteria""",genre,act,"""genre""",work,work,1000,12
P138,named,"""entity or event that inspired the subject's name, or namesake (in at least one language).""",named after,name,"""named after""",act,name,1000,13
P150,territorial,"""(list of) direct subdivisions of an administrative territorial entity""",contains administrative territorial entity,group,"""contains administrative territorial entity""",location,location,1000,14
P155,follow,"""immediately prior item in a series of which the subject is a part [if the subject has replaced the preceding item""",follows,motion,"""follows""",item,item,1000,15
P159,headquarter,"""city, where an organization's headquarters is or has been situated. Use P276 qualifier for specific building""",headquarters location,location,"""headquarters location""",location,location,1000,16
P161,cast,"""actor in the subject production""",cast member,person,"""cast member""",person,act,1000,17
P166,award,"""award or recognition received by a person, organisation or creative work""",award received,symbol,"""award received""",person,symbol,1000,18
P17,country,"""sovereign state of this item""",country,location,"""country""",location,location,1000,19
P170,creator,"""maker of this creative work or other object (where no more specific property exists)""",creator,person,"""creator""",work,person,1000,20
P175,performer,"""actor, musician, band or other performer associated with this role or musical work""",performer,person,"""performer""",person,music,1000,21
P176,manufacturer,"""manufacturer or producer of this product""",manufacturer,group,"""manufacturer""",group,artifact,1000,22
P178,developer,"""organisation or person that developed the item""",developer,person,"""developer""",person,item,1000,23
P179,series,"""series which contains the subject""",part of the series,group,"""part of the series""",group,subject,1000,24
P19,birthplace,"""most specific known (e.g. city instead of country, or hospital instead of city) birth location of a person, animal or fictional character""",place of birth,location,"""place of birth""",person,location,1000,25
P190,twin,"""twin towns, sister cities, twinned municipalities and other localities that have a partnership or cooperative agreement, either legally or informally""",twinned administrative body,body,"""twinned administrative body""",location,location,1000,26
P20,death,"""most specific known (e.g. city instead of country, or hospital instead of city) death location of a person, animal or fictional character""",place of death,location,"""place of death""",person,location,1000,27
P206,water,"""sea, lake, river or stream""",located in or next to body of water,act,"""located in or next to body of water""",water,water,1000,28
P22,father,"""male parent""",father,person,"""father""",person,person,1000,29
P241,military,"""subdivision of the national armed forces of a sovereign nation or state""",military branch,organization,"""military branch""",organization,organization,1000,30
P26,spouse,"""partner in a marriage, civil union, domestic partnership or common-law marriage""",spouse,person,"""spouse""",person,person,1000,31
P264,record,"""brand and trademark associated with the marketing of music recordings and music videos""",record label,business,"""record label""",item,possession,1000,32
P27,citizenship,"""the object is a country that recognizes the subject as its citizen""",country of citizenship,situation,"""country of citizenship""",person,location,1000,33
P276,location,"""location of the object, structure or event""",location,location,"""location""",object,location,1000,34
P279,subclass,"""next higher class or type; all instances of these items are instances of those items; this item is a class (subset) of that item.""",subclass of,group,"""subclass of""",item,item,1000,35
P30,continent,"""continent of which the subject is a part""",continent,object,"""continent""",object,object,1000,36
P31,instance,"""relation of type constraints""",instance of,act,"""instance of""",item,item,1000,37
P36,capital,"""seat of government of a country, province, state or other type of administrative territorial entity""",capital,location,"""capital""",location,location,1000,38
P361,part,"""object of which the subject is a part (if this subject is already part of object A which is a part of object B, then please only make the subject part of object A)""",part of ,cognition,"""part of""",object,object,1000,39
P37,language,"""language designated as official by this item""",official language,cognition,"""official language""",cognition,item,1000,40
P39,position,"""subject currently or formerly holds the object position or public office""",position held,act,"""position held""",person,position,1000,41
P40,child,"""subject has object as child.""",child,person,"""child""",person,person,1000,42
P400,platform,"""platform for which a work was developed or released, or the specific platform version of a software product""",platform,artifact,"""platform""",work,artifact,1000,43
P403,body,"""the body of water to which the watercourse drains""",mouth of the watercourse,group,"""mouth of the watercourse""",river,group,1000,44
P413,specialism,"""position or specialism of a player on a team""",position played on team / speciality,act,"""position played on team / speciality""",act,group,1000,45
