ClassCode,ClassLabel,ClassDescription,ConceptNet,Hierarchy,ClassWord,Hypernym1,Hypernym2
1,transport,"""territorial entity or entities served by this transport hub (airport, train station, etc.)""",place served by transport hub,location,"""place served by transport hub""",location,location
2,mountain,"""geographic area containing numerous geologically related mountains""",mountain range,group,"""mountain range""",peak,location
3,religion,"""set of beliefs, practices and traditions for a group or community""",religion,belief,"""religion""",person,belief
4,participant,"""Like 'Participant' (P710) but for teams.""",participating team,person,"""participating team""",person,location
5,territorial,"""(list of) direct subdivisions of an administrative territorial entity""",contains administrative territorial entity,group,"""contains administrative territorial entity""",location,location
6,government,"""chief officer of the executive branch of a government""",head of government,director,"""head of government""",person,location
7,citizenship,"""the object is a country that recognizes the subject as its citizen""",country of citizenship,situation,"""country of citizenship""",person,location
8,original,"""network(s) or service(s) that originally broadcasted a radio or television program""",original network,system,"""original network""",communication,system
9,heritage,"""heritage designation of a cultural or natural site""",heritage designation,act,"""heritage designation""",location,location
10,performer,"""actor, musician, band or other performer associated with this role or musical work""",performer,person,"""performer""",person,music
11,participant,"""event in which a person or organization was/is a participant""",participant of,situation,"""participant of""",person,situation
12,position,"""subject currently or formerly holds the object position or public office""",position held,act,"""position held""",person,position
13,part,"""part of this subject""",has part,cognition,"""has part""",act,act
14,formation,"""location where a group or organization was formed""",location of formation,location,"""location of formation""",group,location
15,terrain,"""located on the specified (geo)physical feature""",located on terrain feature,location,"""located on terrain feature""",location,location
16,architect,"""person trained to plan and design buildings, and oversee their construction""",architect,person,"""architect""",person,artifact
17,origin,"""country of manufacture, production, or growth where an article or product comes from""",country of origin,location,"""country of origin""",location,location
18,publisher,"""organization or person responsible for publishing books, periodicals, printed music, podcasts, games or software""",publisher,group,"""publisher""",person,artifact
19,director,"""person who leads a particular area of a company or organization""",director,person,"""director""",person,organization
20,father,"""male parent""",father,person,"""father""",person,person
21,developer,"""organisation or person that developed the item""",developer,person,"""developer""",person,artifact
22,military,"""subdivision of the national armed forces of a sovereign nation or state""",military branch,organization,"""military branch""",organization,organization
23,watercourse,"""the body of water to which the watercourse drains""",mouth of the watercourse,group,"""mouth of the watercourse""",river,group
24,nomination,"""award nomination received by a person, organisation or creative work""",nominated for,act,"""nominated for""",grant,person
25,movement,"""literary, artistic, scientific or philosophical movement or scene associated with this person or work""",movement,act,"""movement""",person,act
26,candidate,"""person(s) elected after the election""",successful candidate,person,"""successful candidate""",person,act
27,follow,"""immediately following item in a series of which the subject is a part if the subject has been replaced""",followed by,motion,"""followed by""",item,item
28,manufacturer,"""manufacturer or producer of this product""",manufacturer,group,"""manufacturer""",group,artifact
