ClassCode,ClassLabel,ClassDescription,ConceptNet,Hierarchy,ClassWord,Hypernym1,Hypernym2
1,neighborhood,"""geographically localised community within a larger city, town or suburb""",neighborhood_of,location,"""/location/neighborhood/neighborhood_of""",location,location
2,capital,"""primary governing city of a top-level (country) or first-level subdivision (country, state, province, etc) political entity""",capital,location,"""/location/fr_region/capital""",France,location
3,capital,"""primary governing city of a top-level (country) or first-level subdivision (country, state, province, etc) political entity""",capital,location,"""/location/cn_province/capital""",China,location
4,administrative,"""primary governing city of a top-level (country) or first-level subdivision (country, state, province, etc) political entity""",administrative_capital,location,"""/location/in_state/administrative_capital""",state,location
5,state,"""administrative division in several countries""",states_provinces_within,location,"""/base/locations/countries/states_provinces_within""",state,location
6,founder,"""person who creates an institution intended to perpetuate itself after the founder's association ends""",founders,person,"""/business/company/founders""",person,organization
7,language,"""language(s) that a person or a people speaks, writes or signs, including the native language(s)""",languages_spoken,linguistics,"""/location/country/languages_spoken""",person,linguistics
8,birthplace,"""place where a person is born""",place_of_birth,location,"""/people/person/place_of_birth""",person,location
9,death,"""place where a person died""",place_of_death,location,"""/people/deceased_person/place_of_death""",person,location
10,capital,"""primary governing city of a top-level (country) or first-level subdivision (country, state, province, etc) political entity""",capital,location,"""/location/it_region/capital""",Italy,location
11,member,"""individual or organization with membership in a group; constitutive components of a corporate body""",members,member,"""/people/family/members""",person,organization
12,capital,"""primary governing city of a top-level (country) or first-level subdivision (country, state, province, etc) political entity""",capital,location,"""/location/us_state/capital""",US,location
13,seat,"""administrative center or seat of government for a county or civil parish""",county_seat,location,"""/location/us_county/county_seat""",US,location
14,profession,"""people who have occupation requiring specialized training""",people_with_this_profession,person,"""/people/profession/people_with_this_profession""",person,act
15,capital,"""primary governing city of a top-level (country) or first-level subdivision (country, state, province, etc) political entity""",capital,location,"""/location/br_state/capital""",Brazil,location
16,legislative,"""city from where the legislations are performed""",legislative_capital,location,"""/location/in_state/legislative_capital""",act,location
17,location,"""location of the object, structure or event""",location,location,"""/sports/sports_team/location""",organization,location
18,religion,"""religion of a person, organization or religious building, or associated with this subject""",religion,cognition,"""/people/person/religion""",person,congition
19,judicial,"""city from where the judiciaries are performed""",judicial_capital,location,"""/location/in_state/judicial_capital""",government,location
20,advise,"""to give a group a recommendation about what should be done""",companies_advised,business,"""/business/company_advisor/companies_advised""",person,group
21,country,"""distinct region in geography; a broad term that can include political divisions or regions associated with distinct political characteristics""",country,location,"""/people/family/country""",person,location
22,location,"""location of the object, structure or event""",locations,location,"""/time/event/locations""",phenomenon,location
23,found,"""location of the organization""",place_founded,location,"""/business/company/place_founded""",business,location
24,country,"""distinct region in geography; a broad term that can include political divisions or regions associated with distinct political characteristics""",country,location,"""/location/administrative_division/country""",location,location
25,include,"""to take in or comprise as a part of a whole or group""",included_in_group,add,"""/people/ethnicity/included_in_group""",person,set
